XCoord,YCoord,FID,NAME,ACCESSIBLE,SIZE_,PARK_ADDRE
-83.04558096,42.27284054,0,ABORIGINAL,NO,SMALL,2376 Northway Ave
-82.97766909,42.31429808,1,AKO,NO,LARGE,4271 Alice St
-82.99217539,42.32744170,2,ALEXANDER,YES,LARGE,3700 Riverside Dr E
-83.02770294,42.31247255,3,ALTON C PARKER,NO,SMALL,450 Brodhead Street
-83.01908199,42.25157551,4,AVON COURT,YES,SMALL,3901 Kennedy Dr W
-83.01643096,42.27411082,5,AVONDALE PLAYLOT,NO,SMALL,402 Grand Marais W
-83.03056705,42.32219238,6,GREAT WESTERN PARK (AYLMER COMFORT STATION),YES,LARGE,1388 Riverside Drive E
-83.02994612,42.28246042,7,BALSAMO,NO,MEDIUM,2240 Dandurand Ave
-83.04123688,42.26689367,8,BELLEWOOD,YES,MEDIUM,2600 Youngstown St
-83.07622628,42.29548527,9,BRADLEY,NO,MEDIUM,3460 Cross St
-83.05314849,42.29870342,10,BRIDGEVIEW,YES,LARGE,1899 Grove Ave
-82.99808459,42.28284224,11,BROOKVIEW,NO,SMALL,1097 Brookview Cres
-83.04084789,42.31130029,12,BRUCE AVENUE,YES,MEDIUM,700 Bruce Ave
-82.93476297,42.34000004,13,BRUMPTON,YES,MEDIUM,8890 Cedarview St
-82.92478310,42.31094954,14,BUSH,YES,MEDIUM,9475 Esplanade Drive
-82.97949501,42.27006898,15,CALDERWOOD,NO,MEDIUM,1859 Calderwood Ave
-82.97419957,42.25421112,16,CAPTAIN JOHN WILSON,YES,LARGE,3950 Ducharme Street
-83.01530206,42.26393649,17,CENTRAL,YES,LARGE,3301 Woodland Ave
-82.98200712,42.32152457,18,CHOPIN,NO,MEDIUM,1298 Rossini Blvd
-83.00955129,42.30709740,19,CLAY,NO,MEDIUM,1498 Hall Avenue
-82.95702434,42.29424681,20,COLETTA,NO,MEDIUM,2979 Coletta Court
-82.89824168,42.32702236,21,CORA GREENWOOD,NO,MEDIUM,11824 Little River Blvd
-83.07149034,42.29513516,22,CROWLEY,NO,SMALL,3325 College Avenue
-83.02308287,42.25977599,23,CURRY,NO,MEDIUM,1400 Richardie Blvd
-83.04902771,42.30114420,24,CURRY PLAYLOT,NO,MEDIUM,1074 Curry Avenue
-82.97621391,42.32301414,25,DAWSON,YES,SMALL,1003 Dawson Road
-82.98576271,42.26893615,26,DEVONSHIRE HEIGHTS,YES,SMALL,1697 Calderwood Avenue
-82.99308450,42.24919588,27,DYNASTY,NO,SMALL,605 Dynasty Street
-82.91442285,42.33472135,28,EAST END,NO,MEDIUM,569 Adelaide Avenue
-82.89612105,42.31692328,29,EAST RIVERSIDE - Radcliff/McNorton,NO,MEDIUM,11736 McNorton Street
-82.89946650,42.32242508,30,EAST RIVERSIDE -Blue Heron,NO,MEDIUM,11735 McNorton Street
-82.90403273,42.32388844,31,ELIZABETH KISHKON,YES,LARGE,1415 Banwell Road
-82.90593067,42.32316437,32,ELIZABETH KISHKON- WEST,YES,LARGE,1415 Banwell Road
-83.06320362,42.31224123,33,ERNEST ATKINSON,YES,LARGE,2005 Riverside Drive W
-82.96091171,42.32044608,34,ESDRAS,YES,SMALL,1191 Esdras Avenue
-82.99475716,42.30556737,35,FACTORIA,NO,SMALL,1775 Factoria Road
-83.04315566,42.26120714,36,FAZIO,NO,MEDIUM,3012 Fazio Drive
-83.04455833,42.29611725,37,FIELD OF DREAMS,NO,SMALL,1434 Curry Avenue
-82.92829422,42.33842147,38,FLORA,YES,SMALL,430 Flora Avenue
-82.95262946,42.29555450,39,FONTAINEBLEAU,YES,LARGE,2960 Rivard Avenue
-82.98616365,42.30818193,40,FORD TEST TRACK,YES,LARGE,3001 Seminole Street
-82.91771601,42.30428658,41,FOREST GLADE - NORTH,NO,MEDIUM,3265 Forest Glade Drive
-82.91599429,42.30285045,42,FOREST GLADE-COMM CENTRE,NO,MEDIUM,3265 Forest Glade Drive
-82.98058827,42.32307916,43,FRANCOIS,NO,SMALL,895 Francois Court
-83.03107004,42.31654325,44,FRED THOMAS,NO,LARGE,400 Wyandotte Street E
-82.92177675,42.33862013,45,GANATCHIO TRAIL,NO,SMALL,400 Riverdale Avenue
-82.99764215,42.31672172,46,GARRY DUGAL,NO,MEDIUM,1247 Drouillard Road
-83.01327660,42.29750878,47,GARWOOD,NO,MEDIUM,765 Irvine Avenue
-82.98722364,42.32440178,48,GEORGE PARK,YES,LARGE,4085 Wyandotte Street E
-83.01805383,42.30360862,49,GIGNAC,NO,LARGE,705 Shepherd Street E
-82.98532256,42.24561873,50,GOLDENWOOD,YES,SMALL,4355 Goldenwood Drive
-82.98882183,42.27917676,51,HALL FARMS,YES,LARGE,3030 Conservation Drive
-82.93156891,42.30886534,52,HAWTHORNE,NO,MEDIUM,7645 Hawthorne Drive
-82.96643079,42.32470503,53,HOMESITE,NO,MEDIUM,998 Villaire Avenue
-83.02437029,42.29201456,54,JACKSON,YES,LARGE,125 Tecumseh Road E
-83.00343259,42.26641983,55,KENILWORTH,NO,MEDIUM,3466 Whiteside Drive
-83.02321292,42.32181466,56,KIDS'S ALLIANCE,NO,MEDIUM,1075 University Avenue E
-82.94921806,42.33756484,57,KIWANIS,YES,MEDIUM,7689 Riverside Drive E
-82.99226116,42.23768409,58,KOMINAR,NO,SMALL,4650 Alpenrose Avenue
-82.98691050,42.31740295,59,LABADIE,NO,MEDIUM,1386 Labadie Road
-82.99169163,42.24322819,60,LAKE COMO,YES,MEDIUM,4500 Southwood Lakes Blvd
-82.98250384,42.23932243,61,LAKE LAGUNA,NO,MEDIUM,5001 Southwood Lakes Blvd
-83.01443714,42.30992717,62,LANSPEARY,YES,LARGE,1250 Langlois Avenue
-82.99203969,42.27795167,63,LEAFIELD,YES,SMALL,3083 Conservation Drive
-83.04939906,42.31771662,64,LEGACY (NFL Boundless Playground),YES,LARGE,620 Riverside Dr W
-82.93137245,42.32685377,65,LITTLE RIVER ACRES,YES,LARGE,8575 Little River Road
-82.92493388,42.32660938,66,LITTLE RIVER CORRIDOR,NO,SMALL,10091 Riverside Drive E
-83.06075959,42.27706101,67,MALDEN PARK,YES,LARGE,4200 Malden Road
-82.97670947,42.26008289,68,MAPLE LEAF,NO,MEDIUM,3974 Maple Leaf Cres
-83.03225109,42.24964292,69,MARGURIET,YES,SMALL,2665 Marguriet Street
-83.02823128,42.26500035,70,MARK,YES,MEDIUM,3125 Mark Avenue
-83.00240770,42.24026625,71,MATTHEW RODZIK,NO,MEDIUM,545 Rodfam Drive
-83.05963820,42.28095701,72,MAURICE BELANGER,NO,MEDIUM,3980 Malden Road
-82.98139966,42.29703258,73,MAYFAIR,NO,MEDIUM,2539 Chandler Road
-82.97579692,42.30270910,74,ROBERT MCDONALD (MCDONALD NORTH),NO,LARGE,3971 Ypres Avenue
-82.93255104,42.30563337,75,MEADOWBROOK,YES,LARGE,2851 Meadowbrook Lane
-83.07201601,42.28775562,76,MIC MAC,YES,LARGE,3940 Carmichael Road
-83.07109775,42.28824578,77,MIC MAC - NORTH,YES,LARGE,3940 Carmichael Road
-83.06966799,42.28243138,78,MIC MAC (KIMMY LUCIER),YES,LARGE,3940 Carmichael Road
-83.03527634,42.30330096,79,MITCHELL,YES,MEDIUM,399 Giles Blvd W
-82.91181348,42.32484233,80,MORNINGSTAR,NO,SMALL,10741 Little River Blvd
-83.05791979,42.30006041,81,NORTH MERRITT,NO,SMALL,953 Merritt Drive
-82.97811653,42.24367404,82,NORTH TALBOT,YES,LARGE,1299 Highnoon Drive
-83.04286828,42.30049569,83,OAK ELM,YES,MEDIUM,1250 Elm Avenue
-83.00212670,42.29246559,84,OPTIMIST MEMORIAL,NO,LARGE,1075 Ypres Avenue
-82.89840632,42.30973502,85,PALMETTO,NO,MEDIUM,11518 Palmetto Drive
-83.00794263,42.29468566,86,PARENT,YES,SMALL,2286 Parent Avenue
-83.03570989,42.27014247,87,PARTINGTON,NO,MEDIUM,2725 Partington Avenue
-83.07348265,42.30588917,88,PATERSON,NO,SMALL,3063 Sandwich Street
-82.98664672,42.26081772,89,PATRICK MAGUIRE,NO,MEDIUM,3782 Holburn Street
-82.96827748,42.31329069,90,POLONIA PARK,YES,LARGE,4923 Milloy Street
-82.96326512,42.31572560,91,PYKES,NO,MEDIUM,5497 Lassaline Avenue
-82.95377267,42.32196236,92,REALTOR,YES,LARGE,1198 Homedale Blvd
-83.00571144,42.28576110,93,REMINGTON BOOSTER,YES,LARGE,2710 Lillian Avenue
-82.95546469,42.33001085,94,RIVERSIDE BASEBALL (Miracle Park),YES,LARGE,6755 Wyandotte Street E
-82.96511125,42.29674888,95,ROBERT,NO,MEDIUM,2747 Robert Road
-82.98575152,42.25640639,96,ROSELAND,NO,MEDIUM,870 Morand Street
-82.94559280,42.30744000,97,ROSEVILLE GARDENS,NO,MEDIUM,6405 Roseville Garden Drive
-82.91959205,42.33858987,98,SANDPOINT BEACH,NO,LARGE,10300 Riverside Drive E
-82.91156513,42.30009199,99,SENECA,NO,MEDIUM,3515 Wildwood Drive
-82.95481784,42.29107400,100,SHAWNEE,NO,SMALL,5099 Colburne Drive
-83.04059021,42.28236751,101,SOUTH CAMERON WOODLOT,YES,LARGE,1761 Kenora Street
-83.04233859,42.27940476,102,SOUTH CAMERON WOODLOT - RANKIN,YES,LARGE,1761 Kenora Street
-82.89649854,42.33233111,103,SOUTH RENDEZVOUS,NO,SMALL,11997 Riverside Drive E
-83.05375742,42.29432806,104,SOUTH TILSTON,YES,SMALL,1346 Tilston Drive
-82.99394752,42.28972288,105,SOUTHDALE,NO,MEDIUM,1644 Southdale Drive
-82.90679197,42.31507558,106,SPRINGHOLLOW,NO,MEDIUM,2597 Luxury Avenue
-82.94270125,42.32957583,107,ST.PAUL GROVE,NO,MEDIUM,1020 St Paul Avenue
-82.91148943,42.30979697,108,STILLMEADOW,NO,MEDIUM,2940 Stillmeadow Road
-83.00306111,42.30446662,109,STODGELL,YES,MEDIUM,1650 Seneca Street
-83.06087787,42.31367662,110,STRAITH,NO,SMALL,1751 Riverside Drive W
-83.04598546,42.29004617,111,SUPERIOR,YES,LARGE,1700 Totten Street
-82.96767415,42.32176006,112,THOMPSON,NO,MEDIUM,5410 Edgar Street
-82.95441024,42.30129158,113,THURSTON,NO,MEDIUM,2763 Rivard Avenue
-82.94852018,42.31995378,114,TRANBY,NO,MEDIUM,6899 Tranby Avenue
-82.98812193,42.28729408,115,UDINE,NO,MEDIUM,2891 Byng Road
-83.00977774,42.24541747,116,VETERANS MEMORIAL,NO,LARGE,1120 Cousineau Road
-82.98303397,42.27750633,117,WALKER HOMESITE,YES,LARGE,1900 Seymour Blvd
-83.05244081,42.31288715,118,WELLINGTON,NO,SMALL,352 Wellington Street
-83.02844746,42.31031209,119,WIGLE,YES,LARGE,397 Erie Street E
-82.90190634,42.30410900,120,WILDWOOD,NO,LARGE,3950 Wildwood Drive
-83.00858623,42.31675143,121,WILLISTEAD,NO,LARGE,1899 Niagara Street
-83.05314403,42.30604014,122,WILSON,NO,LARGE,700 McEwan Avenue
-82.96903918,42.30514679,123,SOMME(YPRES),YES,MEDIUM,4500 Somme Avenue
-82.98297548,42.31133656,124,WESTCOTT,NO,SMALL,3698 Alice St
-83.02910587,42.32171381,125,KINSMEN CHATHAM STREET,NO,SMALL,735 Chatham St. E
-82.96822570,42.25154690,126,CAPTAIN JOHN WILSON,NO,SMALL,3950 Ducharme Street
-83.03630384,42.25788549,127,OAKWOOD,YES,MEDIUM,2401 Pulford Street
-82.98772209,42.23645587,128,WOLFE LAKE,NO,SMALL,4823 Southwood Lakes Blvd
-82.98801568,42.24078171,129,LAKE TRAIL DRIVE,NO,SMALL,846 LAKE TRAIL DRIVE
-82.98812726,42.24998759,130,HOLBURN,YES,MEDIUM,4211 Marlo Cres
-82.99556136,42.28362010,131,JENNIFER, , , 
-83.04473162,42.31911925,132,LEGACY,YES, ,620 Riverside Dr W
-83.00594252,42.31298850,133,DEVONSHIRE PARK, , ,2005 Devonshire Crt
-83.03032000,42.31693000,134,FRED THOMAS, , ,400 Wyandotte St E
-82.99197726,42.23776171,135,KOMINAR PARK, , ,4650 Alpenrose Ave
